#Vega Scene - Grønt tak, 6.96.0, Nedbør, dogn
Tidspunkt;Nedbør (mm);Korrigert;Kontrollert
2022-02-09 23:00:00Z;0,009999999;0;1
2022-02-10 23:00:00Z;0;0;1
2022-02-11 23:00:00Z;0;0;1
2022-02-12 23:00:00Z;0,38;0;1
2022-02-13 23:00:00Z;2,67;0;1
2022-02-14 23:00:00Z;19,54;0;1
2022-02-15 23:00:00Z;14,19;0;1
2022-02-16 23:00:00Z;2,52;0;1
2022-02-17 23:00:00Z;0;0;1
2022-02-18 23:00:00Z;0,009999999;0;1
2022-02-19 23:00:00Z;0,07999999;0;1
2022-02-20 23:00:00Z;0,54;0;1
2022-02-21 23:00:00Z;0,7399999;0;1
2022-02-22 23:00:00Z;1,3;0;1
2022-02-23 23:00:00Z;0,6399999;0;1
2022-02-24 23:00:00Z;2,8;0;1
2022-02-25 23:00:00Z;0,1;0;1
2022-02-26 23:00:00Z;0;0;1
2022-02-27 23:00:00Z;0;0;1
2022-02-28 23:00:00Z;0,05;0;1
2022-03-01 23:00:00Z;0,7599999;0;1
2022-03-02 23:00:00Z;0;0;1
2022-03-03 23:00:00Z;0;0;1
2022-03-04 23:00:00Z;0;0;1
2022-03-05 23:00:00Z;0;0;1
2022-03-06 23:00:00Z;0;0;1
2022-03-07 23:00:00Z;0;0;1
2022-03-08 23:00:00Z;0;0;1
2022-03-09 23:00:00Z;0;0;1
2022-03-10 23:00:00Z;0;0;1
2022-03-11 23:00:00Z;0;0;1
2022-03-12 23:00:00Z;0;0;1
2022-03-13 23:00:00Z;0;0;1
2022-03-14 23:00:00Z;0;0;1
2022-03-15 23:00:00Z;0;0;1
2022-03-16 23:00:00Z;0;0;1
2022-03-17 23:00:00Z;2,74;0;1
2022-03-18 23:00:00Z;0,009999999;0;1
2022-03-19 23:00:00Z;0;0;1
2022-03-20 23:00:00Z;0;0;1
2022-03-21 23:00:00Z;0;0;1
2022-03-22 23:00:00Z;0;0;1
2022-03-23 23:00:00Z;0;0;1
2022-03-24 23:00:00Z;0;0;1
2022-03-25 23:00:00Z;0;0;1
2022-03-26 23:00:00Z;0,59;0;1
2022-03-27 23:00:00Z;0,02;0;1
2022-03-28 23:00:00Z;0,29;0;1
2022-03-29 23:00:00Z;0,27;0;1
2022-03-30 23:00:00Z;0,36;0;1
2022-03-31 23:00:00Z;0,14;0;1
2022-04-01 23:00:00Z;0,04;0;1
2022-04-02 23:00:00Z;0;0;1
2022-04-03 23:00:00Z;0;0;1
2022-04-04 23:00:00Z;5,770001;0;1
2022-04-05 23:00:00Z;0,31;0;1
2022-04-06 23:00:00Z;0;0;1
2022-04-07 23:00:00Z;3,21;0;1
2022-04-08 23:00:00Z;3,3;0;1
2022-04-09 23:00:00Z;0,86;0;1
2022-04-10 23:00:00Z;0,02;0;1
2022-04-11 23:00:00Z;0;0;1
2022-04-12 23:00:00Z;0;0;1
2022-04-13 23:00:00Z;4,58;0;1
2022-04-14 23:00:00Z;0,14;0;1
2022-04-15 23:00:00Z;0;0;1
2022-04-16 23:00:00Z;0;0;1
2022-04-17 23:00:00Z;0;0;1
2022-04-18 23:00:00Z;0;0;1
2022-04-19 23:00:00Z;0;0;1
2022-04-20 23:00:00Z;0;0;1
2022-04-21 23:00:00Z;0,23;0;1
2022-04-22 23:00:00Z;0,62;0;1
2022-04-23 23:00:00Z;0,8899999;0;1
2022-04-24 23:00:00Z;0,65;0;1
2022-04-25 23:00:00Z;0,2;0;1
2022-04-26 23:00:00Z;0,51;0;1
2022-04-27 23:00:00Z;0,13;0;1
2022-04-28 23:00:00Z;0;0;1
2022-04-29 23:00:00Z;0,009999999;0;1
2022-04-30 23:00:00Z;0,09;0;1
2022-05-01 23:00:00Z;0;0;1
2022-05-02 23:00:00Z;0,009999999;0;1
2022-05-03 23:00:00Z;0,009999999;0;1
2022-05-04 23:00:00Z;0;0;1
2022-05-05 23:00:00Z;0;0;1
2022-05-06 23:00:00Z;0,6999999;0;1
2022-05-07 23:00:00Z;0,24;0;1
2022-05-08 23:00:00Z;0;0;1
2022-05-09 23:00:00Z;0,05999999;0;1
2022-05-10 23:00:00Z;1,4;0;1
2022-05-11 23:00:00Z;0,15;0;1
2022-05-12 23:00:00Z;0,05;0;1
2022-05-13 23:00:00Z;1,05;0;1
2022-05-14 23:00:00Z;0,07999999;0;1
2022-05-15 23:00:00Z;0;0;1
2022-05-16 23:00:00Z;0,25;0;1
2022-05-17 23:00:00Z;0,09999999;0;1
2022-05-18 23:00:00Z;1,07;0;1
2022-05-19 23:00:00Z;0;0;1
2022-05-20 23:00:00Z;1,11;0;1
2022-05-21 23:00:00Z;2,21;0;1
2022-05-22 23:00:00Z;0;0;1
2022-05-23 23:00:00Z;0;0;1
2022-05-24 23:00:00Z;6,08;0;1
2022-05-25 23:00:00Z;0,25;0;1
2022-05-26 23:00:00Z;24,57;0;1
2022-05-27 23:00:00Z;0,41;0;1
2022-05-28 23:00:00Z;1,5;0;1
2022-05-29 23:00:00Z;0;0;1
2022-05-30 23:00:00Z;4,609999;0;1
2022-05-31 23:00:00Z;0,26;0;1
2022-06-01 23:00:00Z;0,009999999;0;1
2022-06-02 23:00:00Z;0,14;0;1
2022-06-03 23:00:00Z;10,15;0;1
2022-06-04 23:00:00Z;0;0;1
2022-06-05 23:00:00Z;0;0;1
2022-06-06 23:00:00Z;0;0;1
2022-06-07 23:00:00Z;0,6;0;1
2022-06-08 23:00:00Z;18,68;0;1
