#Vega Scene - Grønt tak, 6.96.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2020-05-13 11:00:00Z;9,513885E-07;0;1
2020-05-14 11:00:00Z;8,888887E-07;0;1
2020-05-15 11:00:00Z;8,993052E-07;0;1
2020-05-16 11:00:00Z;8,854164E-07;0;1
2020-05-17 11:00:00Z;9,513884E-07;0;1
2020-05-18 11:00:00Z;9,513884E-07;0;1
2020-05-19 11:00:00Z;9,722215E-07;0;1
2020-05-20 11:00:00Z;9,722218E-07;0;1
2020-05-21 11:00:00Z;1,013888E-06;0;1
2020-05-22 11:00:00Z;1,04861E-06;0;1
2020-05-23 11:00:00Z;1,895837E-06;0;1
2020-05-24 11:00:00Z;1,59028E-06;0;1
2020-05-25 11:00:00Z;1,055555E-06;0;1
2020-05-26 11:00:00Z;1,152777E-06;0;1
2020-05-27 11:00:00Z;1,090277E-06;0;1
2020-05-28 11:00:00Z;1,131944E-06;0;1
2020-05-29 11:00:00Z;2,962496E-05;0;1
2020-05-30 11:00:00Z;9,236105E-07;0;1
2020-05-31 11:00:00Z;9,13194E-07;0;1
2020-06-01 11:00:00Z;9,201385E-07;0;1
2020-06-02 11:00:00Z;9,652772E-07;0;1
2020-06-03 11:00:00Z;9,652771E-07;0;1
2020-06-04 11:00:00Z;9,374995E-07;0;1
2020-06-05 11:00:00Z;1,600694E-06;0;1
2020-06-06 11:00:00Z;1,903125E-05;0;1
2020-06-07 11:00:00Z;1,098959E-05;0;1
2020-06-08 11:00:00Z;2,968751E-06;0;1
2020-06-09 11:00:00Z;1,076388E-06;0;1
2020-06-10 11:00:00Z;1,013888E-06;0;1
2020-06-11 11:00:00Z;1,006944E-06;0;1
2020-06-12 11:00:00Z;1,006943E-06;0;1
2020-06-13 11:00:00Z;1,006944E-06;0;1
2020-06-14 11:00:00Z;9,999991E-07;0;1
2020-06-15 11:00:00Z;9,861104E-07;0;1
2020-06-16 11:00:00Z;9,861104E-07;0;1
2020-06-17 11:00:00Z;1,027777E-06;0;1
2020-06-18 11:00:00Z;1,034722E-06;0;1
2020-06-19 11:00:00Z;9,999991E-07;0;1
2020-06-20 11:00:00Z;1,020832E-06;0;1
2020-06-21 11:00:00Z;1,503472E-05;0;1
2020-06-22 11:00:00Z;4,674651E-05;0;1
2020-06-23 11:00:00Z;1,072916E-06;0;1
2020-06-24 11:00:00Z;1,055555E-06;0;1
2020-06-25 11:00:00Z;1,062499E-06;0;1
2020-06-26 11:00:00Z;1,041666E-06;0;1
2020-06-27 11:00:00Z;1,069444E-06;0;1
